Date,country,Maximum total people killed,Maximum civilians reported killed
2018-10-02,Afghanistan,0,0
2018-10-02,Afghanistan,0,0
2018-10-02,Afghanistan,0,0
2018-10-03,Afghanistan,0,0
2018-10-03,Afghanistan,0,0
2018-10-03,Afghanistan,0,0
2018-10-03,Afghanistan,0,0
2018-10-03,Afghanistan,0,0
2018-10-03,Afghanistan,0,0
2018-10-03,Afghanistan,0,0
2018-10-03,Afghanistan,0,0
2018-10-03,Afghanistan,0,0
2018-10-04,Afghanistan,0,0
2018-10-04,Afghanistan,0,0
2018-10-04,Afghanistan,0,0
2018-10-04,Afghanistan,0,0
2018-10-05,Afghanistan,30,0
2018-10-05,Afghanistan,0,0
2018-10-05,Afghanistan,0,0
2018-10-05,Afghanistan,0,0
2018-10-05,Afghanistan,0,0
2018-10-05,Afghanistan,0,0
2018-10-05,Afghanistan,0,0
2018-10-06,Afghanistan,0,0
2018-10-06,Afghanistan,0,0
2018-10-06,Afghanistan,0,0
2018-10-06,Afghanistan,0,0
2018-10-06,Afghanistan,0,0
2018-10-06,Afghanistan,0,0
2018-10-06,Afghanistan,0,0
2018-10-06,Afghanistan,0,0
2018-10-06,Afghanistan,0,0
2018-10-07,Afghanistan,0,0
2018-10-07,Afghanistan,0,0
2018-10-07,Afghanistan,0,0
2018-10-07,Afghanistan,0,0
2018-10-07,Afghanistan,0,0
2018-10-07,Afghanistan,0,0
2018-10-08,Afghanistan,0,0
2018-10-08,Afghanistan,0,0
2018-10-08,Afghanistan,0,0
2018-10-08,Afghanistan,0,0
2018-10-09,Afghanistan,0,0
2018-10-09,Afghanistan,0,0
2018-10-09,Afghanistan,0,0
2018-10-09,Afghanistan,0,0
2018-10-09,Afghanistan,0,0
2018-10-10,Afghanistan,17,0
2018-10-10,Afghanistan,0,0
2018-10-10,Afghanistan,0,0
2018-10-10,Afghanistan,0,0
2018-10-10,Afghanistan,0,0
2018-10-10,Afghanistan,0,0
2018-10-10,Afghanistan,0,0
2018-10-11,Afghanistan,0,0
2018-10-11,Afghanistan,0,0
2018-10-11,Afghanistan,0,0
2018-10-11,Afghanistan,0,0
2018-10-11,Afghanistan,0,0
2018-10-11,Afghanistan,0,0
2018-10-11,Afghanistan,0,0
2018-10-12,Afghanistan,0,0
2018-10-12,Afghanistan,0,0
2018-10-12,Afghanistan,0,0
2018-10-12,Afghanistan,0,0
2018-10-12,Afghanistan,0,0
2018-10-12,Afghanistan,0,0
2018-10-12,Afghanistan,0,0
2018-10-13,Afghanistan,2,0
2018-10-13,Afghanistan,0,0
2018-10-13,Afghanistan,0,0
2018-10-13,Afghanistan,0,0
2018-10-13,Afghanistan,0,0
2018-10-13,Afghanistan,0,0
2018-10-13,Afghanistan,0,0
2018-10-13,Afghanistan,0,0
2018-10-13,Afghanistan,0,0
2018-10-13,Afghanistan,0,0
2018-10-14,Afghanistan,0,0
2018-10-14,Afghanistan,0,0
2018-10-14,Afghanistan,0,0
2018-10-14,Afghanistan,0,0
2018-10-14,Afghanistan,0,0
2018-10-14,Afghanistan,0,0
2018-10-14,Afghanistan,0,0
2018-10-15,Afghanistan,23,0
2018-10-15,Afghanistan,0,0
2018-10-15,Afghanistan,0,0
2018-10-15,Afghanistan,0,0
2018-10-15,Afghanistan,0,0
2018-10-15,Afghanistan,0,0
2018-10-15,Afghanistan,0,0
2018-10-15,Afghanistan,0,0
2018-10-16,Afghanistan,0,0
2018-10-16,Afghanistan,0,0
2018-10-16,Afghanistan,0,0
2018-10-16,Afghanistan,0,0
2018-10-17,Afghanistan,0,0
2018-10-17,Afghanistan,0,0
2018-10-17,Afghanistan,0,0
2018-10-17,Afghanistan,0,0
2018-10-17,Afghanistan,0,0
2018-10-17,Afghanistan,0,0
2018-10-18,Afghanistan,0,0
2018-10-18,Afghanistan,0,0
2018-10-18,Afghanistan,0,0
2018-10-18,Afghanistan,0,0
2018-10-18,Afghanistan,0,0
2018-10-19,Afghanistan,0,0
2018-10-19,Afghanistan,0,0
2018-10-19,Afghanistan,0,0
2018-10-19,Afghanistan,0,0
2018-10-19,Afghanistan,0,0
2018-10-19,Afghanistan,0,0
2018-10-19,Afghanistan,0,0
2018-10-20,Afghanistan,0,0
2018-10-20,Afghanistan,0,0
